0;0;0;0;land;false;unknown;0
1;242;160;226;land;false;forest;1
2;223;242;127;land;false;plains;1
3;118;207;187;land;false;plains;1
4;148;219;153;land;false;plains;1
5;211;172;140;land;false;plains;1
6;223;125;234;land;true;plains;1
7;130;217;214;land;false;forest;1
8;195;150;250;land;false;forest;1
9;246;140;176;land;false;plains;1
10;223;148;195;land;false;plains;1
11;178;121;239;land;false;plains;1
12;152;138;245;land;false;plains;1
13;243;165;238;land;false;plains;1
14;218;143;188;land;false;plains;1
15;232;43;229;land;false;plains;1
16;157;136;238;land;true;plains;1
17;253;188;63;land;false;desert;1
18;74;233;228;land;false;plains;1
19;80;194;246;land;true;plains;1
20;144;232;224;land;false;plains;1
21;220;112;253;land;false;hills;1
22;250;175;203;land;false;hills;1
23;246;253;243;land;false;plains;1
24;218;169;203;land;true;urban;1
25;214;153;163;land;false;hills;1
26;63;238;218;land;false;plains;1
27;247;101;220;land;false;plains;1
28;221;132;169;land;true;hills;1
29;131;164;245;land;true;hills;1
30;173;176;168;land;false;forest;1
31;253;208;245;land;true;plains;1
32;136;164;233;land;false;plains;1
33;178;204;189;land;false;forest;1
34;212;170;152;land;false;plains;1
35;245;250;74;land;false;plains;1
36;172;204;153;land;false;plains;1
37;233;198;163;land;false;forest;1
38;83;223;253;land;false;plains;1
39;172;167;231;land;false;plains;1
40;248;201;181;land;false;plains;1
41;251;156;135;land;false;hills;1
42;49;237;223;land;true;plains;1
43;135;208;216;land;false;plains;1
44;176;210;131;land;true;plains;1
45;249;126;136;land;false;forest;1
46;167;242;186;land;false;plains;1
47;195;181;204;land;false;plains;1
48;192;253;79;land;false;plains;1
49;210;70;254;land;true;plains;1
50;106;240;196;land;false;plains;1
51;237;247;116;land;false;plains;1
52;104;238;177;land;false;plains;1
53;249;54;246;land;false;plains;1
54;132;223;164;land;false;plains;1
55;235;245;81;land;false;plains;1
56;125;232;183;land;false;mountain;1
57;125;201;209;land;false;plains;1
58;156;245;136;land;false;plains;1
59;249;187;111;land;false;desert;1
60;157;130;239;land;true;plains;1
61;47;225;229;land;false;plains;1
62;144;205;177;land;false;plains;1
63;195;113;240;land;false;plains;1
64;66;240;235;land;false;plains;1
65;251;121;162;land;false;desert;1
66;147;246;143;land;false;plains;1
67;196;147;200;land;false;plains;1
68;249;155;199;land;false;plains;1
69;136;252;208;land;false;plains;1
70;193;215;197;land;true;plains;1
71;158;231;172;land;true;plains;1
72;192;248;133;land;false;plains;1
73;164;122;251;land;false;plains;1
74;163;203;153;land;false;plains;1
75;149;195;165;land;false;urban;1
76;101;203;210;land;false;forest;1
77;157;146;251;land;false;mountain;1
78;215;211;89;land;false;plains;1
79;189;153;176;land;false;hills;1
80;194;251;110;land;false;plains;1
