1;2653.00;9.50;770.00;big
1;2583.00;9.50;1014.00;big
2;1933.00;10.30;1182.00;big
2;1876.00;10.00;1218.00;big
3;1829.00;10.05;1144.00;big
3;1774.00;10.80;1107.00;big
4;1639.00;10.38;1079.00;big
4;1714.00;10.55;1083.00;big
5;1710.00;10.30;989.00;big
5;1645.00;11.70;962.00;big
6;1908.00;10.35;863.00;big
6;1966.00;10.20;897.00;big
7;1942.00;10.00;1095.00;big
7;1882.00;10.00;1052.00;big
8;1767.00;10.05;965.00;big
8;1828.00;11.50;989.00;big
9;1961.00;10.35;983.00;big
9;2035.00;10.90;956.00;big
10;1868.00;11.75;913.00;big
10;1815.00;10.03;885.00;big
11;2175.00;10.30;1202.00;big
11;2043.00;10.45;1114.00;big
12;2023.00;10.90;749.00;big
12;2005.00;10.62;821.00;big
13;3177.00;10.12;1305.00;big
13;3092.00;10.10;1306.00;big
14;1550.00;10.28;85.00;big
14;1290.00;9.50;198.00;big
15;2715.00;10.50;1272.00;big
15;2637.00;10.93;1269.00;big
16;2504.00;10.85;65.00;big
16;2616.00;10.80;96.00;big
17;2530.00;10.75;1105.00;big
17;2471.00;11.00;1100.00;big
18;1738.00;11.40;200.00;big
18;1744.00;11.00;278.00;big
19;2137.00;10.20;936.00;big
19;2066.00;12.03;905.00;big
20;2102.00;11.10;798.00;big
20;2079.00;11.98;850.00;big
21;2041.00;12.20;604.00;big
21;2039.00;14.57;546.00;big
22;2800.00;10.20;514.00;big
22;2879.00;10.30;556.00;big
23;2025.00;11.00;1697.00;big
23;1904.00;10.62;1715.00;big
24;4956.00;10.00;1073.00;big
24;4876.00;10.80;1090.00;big
25;2688.00;10.35;912.00;big
25;2630.00;10.10;823.00;big
26;3335.00;10.68;188.00;big
26;3332.00;10.75;250.00;big
27;2473.00;10.03;1901.00;big
27;2314.00;9.90;1856.00;big
28;4439.00;10.10;1323.00;big
28;4499.00;11.18;1390.00;big
29;388.00;9.50;1840.00;big
29;155.00;9.50;1794.00;big
30;3205.00;10.07;798.00;big
30;3367.00;9.50;943.00;big
31;4681.00;11.25;311.00;big
31;4757.00;10.95;322.00;big
32;5370.00;9.90;965.00;big
32;5364.00;10.03;794.00;big
33;2737.00;10.32;1877.00;big
33;2722.00;11.40;1977.00;big
34;2638.00;10.40;1415.00;big
34;2499.00;9.50;1416.00;big
35;2563.00;10.40;1571.00;big
35;2571.00;10.20;1507.00;big
36;2778.00;12.03;1590.00;big
36;2785.00;10.15;1490.00;big
37;2793.00;10.00;1788.00;big
37;2883.00;11.32;1765.00;big
38;2761.00;11.80;1695.00;big
38;2710.00;11.03;1651.00;big
39;2857.00;12.55;1690.00;big
39;2857.00;10.60;1616.00;big
40;3018.00;10.10;1809.00;big
40;2936.00;10.62;1827.00;big
41;3361.00;10.30;1711.00;big
41;3256.00;11.30;1726.00;big
42;3060.00;10.60;1612.00;big
42;2958.00;10.98;1605.00;big
43;3087.00;10.60;1681.00;big
43;3169.00;10.90;1671.00;big
44;2993.00;11.85;1700.00;big
44;2927.00;12.65;1690.00;big
45;3117.00;9.90;1801.00;big
45;3077.00;10.60;1750.00;big
46;3155.00;10.70;1549.00;big
46;3221.00;11.48;1594.00;big
47;3311.00;11.00;1484.00;big
47;3244.00;12.03;1497.00;big
48;3474.00;10.00;1489.00;big
48;3395.00;10.32;1489.00;big
49;3337.00;11.80;1544.00;big
49;3326.00;12.30;1608.00;big
50;3051.00;11.00;1428.00;big
50;3156.00;10.38;1440.00;big
51;3514.00;11.80;1599.00;big
51;3438.00;11.30;1626.00;big
52;2166.00;10.18;889.00;big
52;2169.00;10.45;836.00;big
53;2220.00;10.38;713.00;big
53;2218.00;10.70;780.00;big
54;2118.00;11.45;721.00;big
54;2123.00;12.55;764.00;big
55;2126.00;13.05;624.00;big
55;2196.00;10.70;635.00;big
56;2032.00;10.93;674.00;big
56;1906.00;10.60;647.00;big
57;2298.00;9.50;688.00;big
57;2617.00;9.50;423.00;big
58;1863.00;10.40;425.00;big
58;1866.00;10.20;493.00;big
59;2148.00;12.18;379.00;big
59;2248.00;12.05;359.00;big
60;2183.00;10.03;468.00;big
60;2244.00;10.70;462.00;big
61;2030.00;11.07;397.00;big
61;1949.00;10.10;433.00;big
62;2207.00;11.25;568.00;big
62;2151.00;11.12;530.00;big
63;2307.00;11.32;463.00;big
63;2306.00;11.07;525.00;big
64;1902.00;10.10;551.00;big
64;1959.00;10.38;576.00;big
65;2098.00;12.20;459.00;big
65;2026.00;11.45;476.00;big
66;2394.00;11.43;515.00;big
66;2415.00;12.07;472.00;big
67;2346.00;13.20;401.00;big
67;2413.00;9.82;354.00;big
68;2529.00;9.80;429.00;big
68;2465.00;10.30;413.00;big
69;2593.00;10.30;363.00;big
69;2582.00;10.82;306.00;big
70;2505.00;9.80;341.00;big
70;2483.00;10.30;267.00;big
71;2302.00;10.95;270.00;big
71;2391.00;10.20;275.00;big
72;2156.00;10.25;291.00;big
72;2205.00;11.25;238.00;big
73;2060.00;10.65;312.00;big
73;1942.00;11.35;316.00;big
74;1943.00;10.15;188.00;big
74;2068.00;11.93;217.00;big
75;1812.00;11.62;93.00;big
75;1722.00;11.38;81.00;big
76;1848.00;11.80;251.00;big
76;1843.00;12.10;172.00;big
77;2614.00;10.68;1166.00;big
77;2682.00;10.70;1162.00;big
78;2603.00;11.50;1072.00;big
78;2665.00;11.30;1066.00;big
79;2757.00;14.05;1167.00;big
79;2819.00;10.03;1207.00;big
80;2765.00;10.12;1095.00;big
80;2807.00;11.00;1025.00;big
81;2769.00;10.45;942.00;big
81;2707.00;10.93;1002.00;big
82;2251.00;10.03;933.00;big
82;2304.00;11.18;855.00;big
83;2396.00;10.70;1001.00;big
83;2317.00;10.15;953.00;big
84;2397.00;10.82;891.00;big
84;2465.00;10.40;895.00;big
85;2504.00;10.70;989.00;big
85;2575.00;10.78;934.00;big
86;2366.00;10.25;735.00;big
86;2328.00;10.88;794.00;big
87;2440.00;10.15;621.00;big
87;2409.00;10.28;686.00;big
88;2394.00;12.70;813.00;big
88;2458.00;11.28;801.00;big
89;2496.00;15.68;674.00;big
89;2499.00;10.90;738.00;big
90;2594.00;10.78;762.00;big
90;2599.00;9.95;682.00;big
91;2733.00;10.30;764.00;big
91;2696.00;10.30;827.00;big
92;2873.00;10.55;658.00;big
92;2820.00;11.00;639.00;big
93;2683.00;10.40;675.00;big
93;2759.00;11.00;697.00;big
94;2745.00;10.70;604.00;big
94;2676.00;10.90;591.00;big
95;2568.00;11.82;599.00;big
95;2508.00;10.73;561.00;big
96;2697.00;11.15;473.00;big
96;2613.00;10.85;501.00;big
97;3004.00;9.50;1916.00;big
97;2837.00;9.50;1907.00;big
98;3231.00;9.50;1892.00;big
98;3460.00;9.50;1884.00;big
99;3041.00;10.25;964.00;big
99;2955.00;10.18;1021.00;big
100;2993.00;11.32;1128.00;big
100;3073.00;12.30;1079.00;big
101;3153.00;10.40;1010.00;big
101;3238.00;11.00;1027.00;big
102;3234.00;10.68;1128.00;big
102;3132.00;11.48;1142.00;big
103;3379.00;10.55;1025.00;big
103;3300.00;9.88;1038.00;big
104;3407.00;10.85;1100.00;big
104;3333.00;10.30;1130.00;big
105;3500.00;10.88;887.00;big
105;3436.00;10.78;914.00;big
106;3752.00;10.70;928.00;big
106;3706.00;10.38;850.00;big
107;3648.00;11.20;1057.00;big
107;3698.00;10.12;1013.00;big
108;3483.00;16.38;1017.00;big
108;3560.00;9.93;1071.00;big
109;3598.00;14.65;891.00;big
109;3620.00;10.00;960.00;big
110;3430.00;10.10;691.00;big
110;3465.00;10.70;791.00;big
111;3916.00;10.20;815.00;big
111;3832.00;10.28;796.00;big
112;3675.00;11.55;728.00;big
112;3730.00;10.20;670.00;big
113;3754.00;9.90;790.00;big
113;3780.00;10.80;733.00;big
114;3607.00;11.45;800.00;big
114;3563.00;11.32;751.00;big
115;3553.00;13.00;683.00;big
115;3520.00;11.00;636.00;big
116;3602.00;11.12;547.00;big
116;3534.00;12.55;562.00;big
117;3643.00;10.30;611.00;big
117;3633.00;11.60;660.00;big
118;3467.00;12.20;486.00;big
118;3537.00;11.30;464.00;big
119;3413.00;10.75;500.00;big
119;3353.00;11.00;527.00;big
120;3276.00;11.38;494.00;big
120;3224.00;10.60;557.00;big
121;3462.00;10.68;584.00;big
121;3404.00;10.45;614.00;big
122;3343.00;11.65;616.00;big
122;3287.00;10.85;612.00;big
123;2947.00;10.85;382.00;big
123;3063.00;11.43;374.00;big
124;3185.00;12.07;381.00;big
124;3174.00;10.93;451.00;big
125;3118.00;16.10;308.00;big
125;3039.00;10.05;253.00;big
126;3297.00;10.40;346.00;big
126;3358.00;10.75;413.00;big
127;3594.00;11.05;278.00;big
127;3613.00;10.45;189.00;big
128;3539.00;10.85;374.00;big
128;3452.00;11.10;336.00;big
129;3521.00;10.10;194.00;big
129;3441.00;10.65;220.00;big
130;3174.00;12.00;243.00;big
130;3249.00;12.62;259.00;big
131;3079.00;11.30;169.00;big
131;3167.00;11.05;152.00;big
132;3312.00;10.50;132.00;big
132;3230.00;10.20;93.00;big
133;3058.00;9.50;1546.00;big
133;2866.00;9.50;1495.00;big
134;3033.00;9.50;1275.00;big
134;2896.00;10.00;1370.00;big
135;2010.00;9.50;48.00;big
135;2340.00;9.50;153.00;big
136;2947.00;9.50;33.00;big
136;2570.00;9.50;15.00;big
137;3292.00;9.50;27.00;big
137;3490.00;9.50;103.00;big
138;2833.00;9.50;344.00;big
138;2897.00;9.50;152.00;big
139;3072.00;9.90;601.00;big
139;3013.00;10.10;614.00;big
140;2928.00;9.50;823.00;big
140;2882.00;9.50;1059.00;big
141;2713.00;9.50;1784.00;big
141;2630.00;9.50;1582.00;big
142;2365.00;10.03;1508.00;big
142;2480.00;9.50;1646.00;big
143;2136.00;11.78;1693.00;big
143;2227.00;9.93;1697.00;big
144;2002.00;9.90;1414.00;big
144;2072.00;10.95;1380.00;big
145;2176.00;9.80;1411.00;big
145;2247.00;11.40;1478.00;big
146;2124.00;10.40;1578.00;big
146;2228.00;11.50;1592.00;big
147;2086.00;11.75;1493.00;big
147;2174.00;10.98;1509.00;big
148;2582.00;9.50;1230.00;big
148;2406.00;10.03;1272.00;big
149;2293.00;9.50;1208.00;big
149;2212.00;9.50;1098.00;big
150;1925.00;10.00;1904.00;big
150;2069.00;9.50;1856.00;big
151;1874.00;9.50;1459.00;big
151;1964.00;9.50;1517.00;big
